file,folder,title,institution,source,time_start,time_end,lat,lon,n_vars,temp_top_candidates
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2019.nc,LONGCHAMP_MTO-1H_2025-08-10,Ground meteorological data from LONGCHAMP Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2019-01-01T00:00:00.000000000,2019-12-31T23:00:00.000000000,48.854801177978516,2.2337000370025635,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LONGCHAMP_MTO-1H_2025-08-10\75116008_LONGCHAMP_MTO_1H_2022.nc,LONGCHAMP_MTO-1H_2025-08-10,Ground meteorological data from LONGCHAMP Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2022-01-01T00:00:00.000000000,2022-12-31T23:00:00.000000000,48.854801177978516,2.2337000370025635,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LUXEMBOURG_MTO-1H_2025-08-10\75106001_LUXEMBOURG_MTO_1H_2019.nc,LUXEMBOURG_MTO-1H_2025-08-10,Ground meteorological data from LUXEMBOURG Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2019-01-01T00:00:00.000000000,2019-12-31T23:00:00.000000000,48.84469985961914,2.3338000774383545,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\LUXEMBOURG_MTO-1H_2025-08-10\75106001_LUXEMBOURG_MTO_1H_2022.nc,LUXEMBOURG_MTO-1H_2025-08-10,Ground meteorological data from LUXEMBOURG Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2022-01-01T00:00:00.000000000,2022-12-31T23:00:00.000000000,48.84469985961914,2.3338000774383545,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\PARIS-MONTSOURIS-DOUBLE_MTO-1H_2025-08-10\75114007_PARIS-MONTSOURIS-DOUBLE_MTO_1H_2019.nc,PARIS-MONTSOURIS-DOUBLE_MTO-1H_2025-08-10,Ground meteorological data from PARIS-MONTSOURIS-DOUBLE Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2019-01-01T00:00:00.000000000,2019-12-31T23:00:00.000000000,48.82170104980469,2.3378000259399414,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\PARIS-MONTSOURIS-DOUBLE_MTO-1H_2025-08-10\75114007_PARIS-MONTSOURIS-DOUBLE_MTO_1H_2022.nc,PARIS-MONTSOURIS-DOUBLE_MTO-1H_2025-08-10,Ground meteorological data from PARIS-MONTSOURIS-DOUBLE Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2022-01-01T00:00:00.000000000,2022-12-31T23:00:00.000000000,48.82170104980469,2.3378000259399414,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\PARIS-MONTSOURIS_MTO-1H_2025-08-10\75114001_PARIS-MONTSOURIS_MTO_1H_2019.nc,PARIS-MONTSOURIS_MTO-1H_2025-08-10,Ground meteorological data from PARIS-MONTSOURIS Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2019-01-01T00:00:00.000000000,2019-12-31T23:00:00.000000000,48.82170104980469,2.3378000259399414,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\PARIS-MONTSOURIS_MTO-1H_2025-08-10\75114001_PARIS-MONTSOURIS_MTO_1H_2022.nc,PARIS-MONTSOURIS_MTO-1H_2025-08-10,Ground meteorological data from PARIS-MONTSOURIS Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2022-01-01T00:00:00.000000000,2022-12-31T23:00:00.000000000,48.82170104980469,2.3378000259399414,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\ST-MAUR_MTO-1H_2025-08-12\94068001_ST-MAUR_MTO_1H_2019.nc,ST-MAUR_MTO-1H_2025-08-12,Ground meteorological data from ST-MAUR Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2019-01-01T00:00:00.000000000,2019-12-31T23:00:00.000000000,48.80870056152344,2.492300033569336,26,ta;ts_50;ts_20
D:\PPT_Word_Exel\2025\Final_Project\WorkSpace2\aeris\unzipped\ST-MAUR_MTO-1H_2025-08-12\94068001_ST-MAUR_MTO_1H_2022.nc,ST-MAUR_MTO-1H_2025-08-12,Ground meteorological data from ST-MAUR Meteo-France station every hour.,Meteo-France,Meteo-France operational weather station network,2022-01-01T00:00:00.000000000,2022-12-31T23:00:00.000000000,48.80870056152344,2.492300033569336,26,ta;ts_50;ts_20
